Index,Time(s),1(VOLT),2(VOLT)
66,-0.0434999987483,2.21105575562,-2.41206073761
67,-0.0434000007808,2.05025172234,-2.53266382217
68,-0.043299999088,1.84924650192,-2.53266382217
69,-0.0432000011206,1.72864353657,-2.53266382217
70,-0.0430999994278,1.52763843536,-2.49246263504
71,-0.0430000014603,1.40703547001,-2.57286477089
72,-0.0428999997675,1.24623131752,-2.53266382217
73,-0.0428000018001,1.12562835217,-2.57286477089
74,-0.0427000001073,1.0050252676,-2.53266382217
75,-0.0425999984145,0.884422242641,-2.49246263504
76,-0.042500000447,0.683417201042,-2.53266382217
77,-0.0423999987543,0.603015184402,-2.53266382217
78,-0.0423000007868,0.482412159443,-2.53266382217
79,-0.042199999094,0.361809104681,-2.53266382217
80,-0.0421000011265,0.281407088041,-2.53266382217
81,-0.0419999994338,0.160804048181,-2.53266382217
82,-0.0419000014663,0.0804020240903,-2.53266382217
83,-0.0417999997735,-0.0402010120451,-2.53266382217
84,-0.041700001806,-0.120603039861,-2.53266382217
85,-0.0416000001132,-0.2010050565,-2.53266382217
86,-0.0414999984205,-0.281407088041,-2.53266382217
87,-0.041400000453,-0.361809104681,-2.53266382217
88,-0.0412999987602,-0.442211121321,-2.49246263504
89,-0.0412000007927,-0.522613167763,-2.53266382217
90,-0.0410999991,-0.562814176083,-2.49246263504
91,-0.0410000011325,-0.643216192722,-2.53266382217
92,-0.0408999994397,-0.723618209362,-2.49246263504
93,-0.0408000014722,-0.804020226002,-2.49246263504
94,-0.0406999997795,-0.884422242641,-2.49246263504
95,-0.040600001812,-0.924623250961,-2.53266382217
96,-0.0405000001192,-0.964824318886,-2.49246263504
97,-0.0403999984264,-1.04522633553,-2.53266382217
98,-0.040300000459,-1.08542728424,-2.53266382217
99,-0.0401999987662,-1.12562835217,-2.49246263504
100,-0.0401000007987,-1.16582930088,-2.49246263504
101,-0.0399999991059,-1.24623131752,-2.53266382217
102,-0.0399000011384,-1.28643238544,-2.53266382217
103,-0.0397999994457,-1.32663345337,-2.49246263504
104,-0.0397000014782,-1.36683440208,-2.53266382217
105,-0.0395999997854,-1.40703547001,-2.53266382217
106,-0.0395000018179,-1.44723641872,-2.49246263504
107,-0.0394000001252,-1.44723641872,-2.53266382217
108,-0.0392999984324,-1.52763843536,-2.53266382217
109,-0.0392000004649,-1.56783950329,-2.53266382217
110,-0.0390999987721,-1.56783950329,-2.53266382217
111,-0.0390000008047,-1.64824151993,-2.53266382217
112,-0.0388999991119,-1.64824151993,-2.49246263504
113,-0.0388000011444,-1.68844246864,-2.53266382217
114,-0.0386999994516,-1.68844246864,-2.53266382217
115,-0.0386000014842,-1.72864353657,-2.53266382217
116,-0.0384999997914,-1.76884448528,-2.49246263504
117,-0.0384000018239,-1.80904555321,-2.49246263504
118,-0.0383000001311,-1.80904555321,-2.49246263504
119,-0.0381999984384,-1.80904555321,-2.49246263504
120,-0.0381000004709,-1.88944756985,-2.49246263504
121,-0.0379999987781,-1.88944756985,-2.49246263504
122,-0.0379000008106,-1.92964863777,-2.53266382217
123,-0.0377999991179,-1.92964863777,-2.49246263504
124,-0.0377000011504,-1.96984958649,-2.53266382217
125,-0.0375999994576,-1.96984958649,-2.49246263504
126,-0.0375000014901,-1.96984958649,-2.49246263504
127,-0.0373999997973,-2.0100505352,-2.53266382217
128,-0.0373000018299,-2.0100505352,-2.53266382217
129,-0.0372000001371,-2.05025172234,-2.49246263504
130,-0.0370999984443,-2.05025172234,-2.49246263504
131,-0.0370000004768,-2.05025172234,-2.53266382217
132,-0.0368999987841,-2.09045267105,-2.49246263504
133,-0.0368000008166,-2.05025172234,-2.53266382217
134,-0.0366999991238,-2.09045267105,-2.53266382217
135,-0.0366000011563,-2.13065361977,-2.49246263504
136,-0.0364999994636,-2.13065361977,-2.49246263504
137,-0.0364000014961,-2.13065361977,-2.49246263504
138,-0.0362999998033,-2.13065361977,-2.53266382217
139,-0.0362000018358,-2.17085456848,-2.53266382217
140,-0.0361000001431,-2.17085456848,-2.49246263504
141,-0.0359999984503,-2.17085456848,-2.53266382217
142,-0.0359000004828,-2.21105575562,-2.53266382217
143,-0.03579999879,-2.21105575562,-2.53266382217
144,-0.0357000008225,-2.21105575562,-2.49246263504
145,-0.0355999991298,-2.25125670433,-2.49246263504
146,-0.0355000011623,-2.21105575562,-2.49246263504
147,-0.0353999994695,-2.25125670433,-2.53266382217
148,-0.035300001502,-2.25125670433,-2.53266382217
149,-0.0351999998093,-2.25125670433,-2.49246263504
150,-0.0351000018418,-2.25125670433,-2.53266382217
151,-0.035000000149,-2.25125670433,-2.49246263504
152,-0.0348999984562,-2.29145765305,-2.49246263504
153,-0.0348000004888,-2.29145765305,-2.53266382217
154,-0.034699998796,-2.29145765305,-2.53266382217
155,-0.0346000008285,-2.29145765305,-2.49246263504
156,-0.0344999991357,-2.29145765305,-2.53266382217
157,-0.0344000011683,-2.33165860176,-2.53266382217
158,-0.0342999994755,-2.33165860176,-2.49246263504
159,-0.034200001508,-2.29145765305,-2.49246263504
160,-0.0340999998152,-2.33165860176,-2.49246263504
161,-0.0340000018477,-2.33165860176,-2.49246263504
162,-0.033900000155,-2.37185978889,-2.49246263504
163,-0.0337999984622,-2.33165860176,-2.49246263504
164,-0.0337000004947,-2.33165860176,-2.49246263504
165,-0.0335999988019,-2.37185978889,-2.53266382217
166,-0.0335000008345,-2.37185978889,-2.49246263504
167,-0.0333999991417,-2.33165860176,-2.53266382217
168,-0.0333000011742,-2.37185978889,-2.49246263504
169,-0.0331999994814,-2.37185978889,-2.49246263504
170,-0.033100001514,-2.37185978889,-2.49246263504
171,-0.0329999998212,-2.37185978889,-2.49246263504
172,-0.0329000018537,-2.37185978889,-2.53266382217
173,-0.0328000001609,-2.37185978889,-2.49246263504
174,-0.0326999984682,-2.37185978889,-2.49246263504
175,-0.0326000005007,-2.37185978889,-2.49246263504
176,-0.0324999988079,-2.37185978889,-2.49246263504
177,-0.0324000008404,-2.37185978889,-2.53266382217
178,-0.0322999991477,-2.41206073761,-2.49246263504
179,-0.0322000011802,-2.41206073761,-2.53266382217
180,-0.0320999994874,-2.41206073761,-2.53266382217
181,-0.0320000015199,-2.41206073761,-2.45226168633
182,-0.0318999998271,-2.37185978889,-2.53266382217
183,-0.0318000018597,-2.41206073761,-2.49246263504
184,-0.0317000001669,-2.41206073761,-2.49246263504
185,-0.0315999984741,-2.41206073761,-2.45226168633
186,-0.0315000005066,-2.41206073761,-2.53266382217
187,-0.0313999988139,-2.41206073761,-2.49246263504
188,-0.0313000008464,-2.41206073761,-2.53266382217
189,-0.0311999991536,-2.41206073761,-2.49246263504
190,-0.0310999993235,-2.45226168633,-2.49246263504
191,-0.0309999994934,-2.41206073761,-2.49246263504
192,-0.0308999996632,-2.41206073761,-2.49246263504
193,-0.0307999998331,-2.45226168633,-2.53266382217
194,-0.030700000003,-2.41206073761,-2.53266382217
195,-0.0306000001729,-2.45226168633,-2.53266382217
196,-0.0305000003427,-2.41206073761,-2.49246263504
197,-0.0304000005126,-2.41206073761,-2.49246263504
198,-0.0303000006825,-2.45226168633,-2.53266382217
199,-0.0302000008523,-2.41206073761,-2.49246263504
