Address:,USB0::0x2A8D::0x0396::CN60117105::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),3 (VOLT),
Serial Number:,CN60117105,,0.1015625,0.40201011300087,-0.403266414999962,
Firmware Version:,02.12.2021071625,,0.101671000217,0,-0.604271441698074,
Start Time:,2025-04-21 17:17:48.779,,0.101779500434,0.40201011300087,-0.202261388301849,
,,,0.101888000651,0,-0.403266414999962,
Analog Sample Count:,9216,,0.101996500868,0,-0.403266414999962,
Function Sample Count:,0,,0.102105001085,0,-0.403266414999962,
Waveform Memory Sample Count:,0,,0.102213501302,0,-0.403266414999962,
Digital Sample Count:,0,,0.102322001519,0,-0.403266414999962,
,,,0.102430501736,0.40201011300087,-0.403266414999962,
Setup Text Information:,,,0.102539001953,0.40201011300087,-0.403266414999962,
ANALOG,,,0.10264750217,0,-0.403266414999962,
Channel 1,,,0.102756002387,0,-0.403266414999962,
Scale,10 V/,,0.102864502604,0.40201011300087,-0.604271441698074,
Pos,0 V,,0.102973002821,0.40201011300087,-0.403266414999962,
Coup,,,0.103081503038,0.40201011300087,-0.403266414999962,
BW,Off,,0.103190003255,0.40201011300087,-0.403266414999962,
Inv,Off,,0.103298503472,0.40201011300087,-0.604271441698074,
Imp,1M Ohm,,0.103407003689,0.40201011300087,-0.604271441698074,
Trace Label,1,,0.103515503906,0,-0.604271441698074,
Probe,10,,0.103624004123,0.40201011300087,-0.604271441698074,
Skew,0 s,,0.10373250434,0,-0.604271441698074,
,,,0.103841004557,0.40201011300087,-0.604271441698074,
Channel 3,,,0.103949504774,0,-0.604271441698074,
Scale,5 V/,,0.104058004991,0.40201011300087,-0.604271441698074,
Pos,10.25 V,,0.104166505208,0.40201011300087,-0.604271441698074,
Coup,,,0.104275005425,0.40201011300087,-0.604271441698074,
BW,Off,,0.104383505642,0.40201011300087,-0.403266414999962,
Inv,Off,,0.104492005859,0.40201011300087,-0.604271441698074,
Imp,1M Ohm,,0.104600506076,0.40201011300087,-0.604271441698074,
Trace Label,3,,0.104709006293,0.40201011300087,-0.604271441698074,
Probe,10,,0.10481750651,0,-0.604271441698074,
Skew,0 s,,0.104926006727,0.40201011300087,-0.604271441698074,
,,,0.105034506944,0,-0.604271441698074,
MATH,,,0.105143007161,0.40201011300087,-0.604271441698074,
TRIGGER,,,0.105251507378,0.40201011300087,-0.604271441698074,
Sweep Mode,NORM,,0.105360007595,0.40201011300087,-0.604271441698074,
Coup,DC,,0.105468507812,0,-0.604271441698074,
